,animal_id,animal_type,outcome_type
50345,A748331,Cat,Adoption
50346,A723825,Cat,Adoption
50347,A745112,Cat,Adoption
50348,A702642,Dog,Transfer
50349,A716507,Dog,Adoption
50350,A714496,Cat,Died
50351,A717222,Dog,Return to Owner
50352,A705891,Cat,Transfer
50353,A755688,Dog,Transfer
50354,A747704,Dog,Transfer
50355,A702005,Cat,Transfer
50356,A715014,Cat,Transfer
50357,A763923,Dog,Euthanasia
50358,A744987,Dog,Adoption
50359,A739194,Dog,Transfer
50360,A734277,Cat,Transfer
50361,A748540,Dog,Adoption
50362,A752194,Other,Euthanasia
50363,A709414,Cat,Transfer
50364,A722134,Other,Euthanasia
50365,A699912,Dog,Transfer
50366,A742796,Dog,Adoption
50367,A654580,Cat,Adoption
50368,A753161,Cat,Adoption
50369,A745039,Dog,Return to Owner
50370,A718388,Cat,Transfer
50371,A733688,Dog,Adoption
50372,A728384,Cat,Adoption
50373,A702404,Dog,Return to Owner
50374,A743034,Cat,Adoption
50375,A705386,Cat,Adoption
50376,A714522,Dog,Return to Owner
50377,A700121,Dog,Return to Owner
50378,A759778,Cat,Adoption
50379,A739047,Dog,Return to Owner
50380,A709904,Dog,Return to Owner
50381,A722546,Other,Transfer
50382,A753841,Other,Euthanasia
50383,A707287,Cat,Transfer
50384,A737660,Cat,Died
50385,A703520,Dog,Transfer
50386,A593884,Dog,Return to Owner
50387,A729807,Cat,Transfer
50388,A703414,Dog,Transfer
50389,A713881,Other,Transfer
50390,A703325,Cat,Adoption
50391,A711486,Cat,Adoption
50392,A750519,Dog,Adoption
50393,A743771,Dog,Adoption
50394,A705181,Cat,Transfer
50395,A751371,Cat,Adoption
50396,A742439,Dog,Adoption
50397,A741189,Dog,Adoption
50398,A756583,Cat,Transfer
50399,A750763,Cat,Adoption
50400,A735670,Cat,Adoption
50401,A670832,Dog,Adoption
50402,A662273,Dog,Adoption
50403,A756217,Cat,Transfer
50404,A729389,Dog,Adoption
50405,A718266,Cat,Adoption
50406,A747846,Dog,Adoption
50407,A741849,Dog,Adoption
50408,A727394,Other,Died
50409,A749378,Dog,Transfer
50410,A701478,Cat,Transfer
50411,A721105,Dog,Transfer
50412,A727570,Dog,Transfer
50413,A720393,Dog,Transfer
50414,A751177,Dog,Adoption
50415,A761464,Cat,Return to Owner
50416,A746703,Cat,Adoption
