,Animal ID,Type,Outcome Type
8969,A362450,Dog,Euthanize
8970,A321019,Dog,Adoption
8971,A348490,Dog,Adoption
8972,A324190,Other,Transfer
8973,A314364,Dog,Adoption
8974,A356371,Dog,Transfer
8975,A338166,Dog,Return To Owner
8976,A367896,Cat,Adoption
8977,A281213,Dog,Return To Owner
8978,A362673,Other,Return To Owner
8979,A339099,Cat,Adoption
8980,A308637,Dog,Adoption
8981,A390100,Dog,Euthanize
8982,A321700,Other,Adoption
8983,A331575,Other,Return To Owner
8984,A326262,Cat,Adoption
8985,A313911,Dog,Return To Owner
8986,A346349,Dog,Return To Owner
8987,A314869,Dog,Return To Owner
8988,A330580,Dog,Return To Owner
8989,A338447,Dog,Adoption
8990,A376179,Cat,Adoption
8991,A377206,Cat,Euthanize
8992,A323156,Cat,Adoption
8993,A327959,Cat,Transfer
8994,A310705,Cat,Adoption
8995,A379050,Cat,Transfer
8996,A356006,Cat,Transfer
8997,A356408,Dog,Return To Owner
8998,A373298,Cat,Return To Owner
8999,A325103,Other,Transfer
9000,A381701,Dog,Adoption
9001,A335532,Dog,Adoption
9002,A371114,Cat,Transfer
9003,A384149,Other,Transfer
9004,A304587,Dog,Euthanize
9005,A322298,Dog,Return To Owner
9006,A321410,Cat,Adoption
9007,A375890,Dog,Return To Owner
9008,A340064,Dog,Adoption
9009,A382135,Cat,Disposal
9010,A353925,Dog,Return To Owner
9011,A384113,Dog,Return To Owner
9012,A333086,Dog,Adoption
9013,A389430,Cat,Return To Owner
9014,A316494,Dog,Return To Owner
9015,A332254,Dog,Adoption
9016,A378472,Cat,Return To Owner
9017,A350264,Dog,Return To Owner
9018,A327938,Dog,Return To Owner
9019,A346006,Dog,Adoption
9020,A330685,Dog,Return To Owner
9021,A316304,Dog,Return To Owner
9022,A339260,Cat,Return To Owner
9023,A313809,Dog,Return To Owner
9024,A390931,Cat,Adoption
9025,A338074,Dog,Return To Owner
9026,A308895,Dog,Return To Owner
9027,A362736,Cat,Euthanize
9028,A354873,Cat,Euthanize
9029,A329871,Cat,Adoption
9030,A366824,Dog,Transfer
9031,A389771,Dog,Return To Owner
9032,A342087,Dog,Return To Owner
9033,A363869,Cat,Adoption
9034,A364796,Dog,Return To Owner
9035,A313120,Cat,Adoption
9036,A346728,Dog,Return To Owner
9037,A261580,Dog,Return To Owner
9038,A360998,Cat,Adoption
9039,A345546,Dog,Return To Owner
9040,A341986,Cat,Adoption
9041,A326952,Dog,Return To Owner
9042,A338800,Cat,Euthanize
9043,A310324,Dog,Adoption
9044,A342083,Cat,Adoption
9045,A378473,Cat,Return To Owner
9046,A281568,Dog,Return To Owner
9047,A311515,Cat,Adoption
9048,A372703,Dog,Adoption
9049,A317068,Dog,Adoption
9050,A339295,Cat,Transfer
9051,A329816,Dog,Return To Owner
